Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
198,0.0277011,0.00238528,0.0137298,0.00853326,0.0070555,0.0110413,0.0114586,0.0101217,0.00609561,0.0159688,0.0114378,0.00998538,0.0108524,0.00763556,0.0110496,0.00850113,0.0109399,0.0168804,0.0243125,0.0203134,0.0131865,0.0167227,0.00502132,0.00820661,0.00560861,0.00845705,0.00601262,0.0104353,0.0108415,0.0143346,0.022588,0.0106125,0.0156136,0.0122056,0.00622749,0.0104169,0.0103337,0.0108165,0.0187281,0.0200498,0.0146767
199,0.0283369,0.00292753,0.0129448,0.00736047,0.005052,0.0122902,0.0120726,0.0107212,0.00625474,0.0160576,0.0114241,0.00740366,0.0109898,0.00819803,0.0102597,0.00951453,0.00877386,0.0150546,0.024719,0.0213904,0.0141699,0.0167699,0.00719685,0.00831252,0.00609931,0.00796309,0.00508174,0.0104788,0.0109648,0.0177663,0.02312,0.0113001,0.0136032,0.0122864,0.00665211,0.00870257,0.0097607,0.0141276,0.0174131,0.0192206,0.0147512
200,0.0281394,0.00322424,0.012859,0.00581052,0.00764499,0.0129327,0.0119761,0.0106391,0.00622623,0.0160111,0.0112025,0.00724596,0.0121393,0.00947298,0.0087384,0.0114486,0.00757374,0.0107779,0.0248215,0.0218595,0.0144103,0.0164202,0.00912,0.00693493,0.00654573,0.00655154,0.0042004,0.0107707,0.010607,0.0190941,0.0236828,0.0114373,0.0117313,0.0110612,0.00768265,0.00860897,0.0109253,0.0151903,0.015496,0.0168908,0.0134975
201,0.0271156,0.00334012,0.0135477,0.00502097,0.0104811,0.0129942,0.0112751,0.0100382,0.00617299,0.0159901,0.010939,0.00947356,0.0129113,0.0104879,0.00668881,0.0135002,0.0112771,0.00754234,0.0244278,0.0216123,0.014148,0.015996,0.0106359,0.00461872,0.00692599,0.00480205,0.00363394,0.0113424,0.00990008,0.017898,0.0242051,0.0112264,0.0108141,0.00874277,0.00961101,0.0114326,0.0121688,0.0133206,0.013624,0.0136328,0.0114461
202,0.0255597,0.00360451,0.0143609,0.00528856,0.00986895,0.0126441,0.0101747,0.00915131,0.00625144,0.016056,0.0106722,0.011709,0.0123485,0.0102703,0.0048203,0.0141679,0.0150759,0.00821347,0.023046,0.0206418,0.0136946,0.0156901,0.0115965,0.00315506,0.00717065,0.00331813,0.00354686,0.0118473,0.00908509,0.0154007,0.0246054,0.0105549,0.0107862,0.00551774,0.0123614,0.0147917,0.0124758,0.00950755,0.0123204,0.0103842,0.00950406
203,0.0238338,0.00421572,0.0144465,0.005875,0.00621187,0.0120576,0.00889537,0.00814543,0.00653008,0.0162446,0.0103549,0.0132423,0.0106517,0.0092065,0.00421529,0.0123303,0.016083,0.0100319,0.0205938,0.0191708,0.0133583,0.0154975,0.0116632,0.00551853,0.00719265,0.00244122,0.00389932,0.0118411,0.008374,0.0139589,0.0248328,0.00911901,0.011183,0.00233893,0.0150588,0.0166665,0.0143372,0.00691009,0.0117794,0.00803217,0.00843388
204,0.0221862,0.00500059,0.0136514,0.00616559,0.00248963,0.0112582,0.00763356,0.00711769,0.00692697,0.0167348,0.00995105,0.0144186,0.00904764,0.00868321,0.00511898,0.00800642,0.0144697,0.0108884,0.0175809,0.0176112,0.0133197,0.0152486,0.0106186,0.00864875,0.00691112,0.00243664,0.00462051,0.0111709,0.00803832,0.0145482,0.0246868,0.00742,0.011935,0.00354552,0.0167563,0.017148,0.0192936,0.0088066,0.0119082,0.00702172,0.00836494
205,0.0207138,0.00560782,0.0125428,0.00602072,0.0044386,0.0100988,0.00661034,0.00625476,0.00724624,0.017479,0.00935968,0.0153247,0.00834411,0.00913405,0.00642298,0.00248975,0.0117939,0.010635,0.0148269,0.0162637,0.0135199,0.0147121,0.00881915,0.010419,0.00627024,0.00338379,0.0057134,0.0100168,0.00835179,0.0158034,0.0238619,0.00617469,0.0125684,0.00578236,0.017226,0.0179279,0.0237089,0.0128682,0.0124676,0.00723603,0.00894883
206,0.0194308,0.0057878,0.0116637,0.00575639,0.0070964,0.00847861,0.00605991,0.00588166,0.00724794,0.0179478,0.00840829,0.0156014,0.00775737,0.00959948,0.00742849,0.00355061,0.0100464,0.00950803,0.0131527,0.0151467,0.0136817,0.0137827,0.00700842,0.0100492,0.00529183,0.00482722,0.00715309,0.00870311,0.00928216,0.0163589,0.0222028,0.004781,0.0121168,0.00622223,0.0168873,0.0196424,0.0240816,0.0166135,0.0131527,0.00820072,0.00980907
207,0.0183994,0.00545422,0.0110224,0.00627474,0.00849209,0.00651731,0.00596216,0.00610032,0.00670841,0.0175338,0.00710714,0.0150911,0.00645814,0.00946618,0.00801663,0.00711107,0.0104482,0.00782991,0.0129534,0.0140895,0.0133885,0.0126353,0.00543452,0.00697724,0.00414262,0.00633338,0.00875984,0.00753762,0.0105557,0.0149137,0.0198851,0.00399016,0.0103,0.00541847,0.0161512,0.0203395,0.0199432,0.0180002,0.0136662,0.00931497,0.0106491
208,0.0178338,0.00459407,0.0102229,0.00840116,0.00892633,0.00451448,0.00585677,0.00649279,0.00546971,0.0161242,0.00582796,0.0141887,0.00488383,0.00893419,0.00843985,0.00872529,0.012148,0.00616654,0.013548,0.0127512,0.0121066,0.0116248,0.00409046,0.0017803,0.0031309,0.00749981,0.0101486,0.00685006,0.0119115,0.0113486,0.0173546,0.00687049,0.00889639,0.00565853,0.0149839,0.0179397,0.0134398,0.015635,0.0136909,0.00988179,0.0110474
209,0.0179741,0.00320917,0.0088805,0.0112014,0.00888619,0.0028132,0.00513,0.00648498,0.00346523,0.0142219,0.00506865,0.0135593,0.00469216,0.0085957,0.00918135,0.00965556,0.0138408,0.00478607,0.0134252,0.0105505,0.00925712,0.0109399,0.00510515,0.00606817,0.00258762,0.00784588,0.0108194,0.00713847,0.0129977,0.00931313,0.0150557,0.00965032,0.00915898,0.00641773,0.0132381,0.0125987,0.00792961,0.010906,0.0127447,0.00909401,0.0101952
210,0.0186861,0.00138547,0.00685123,0.0131904,0.00841489,0.00182453,0.00355889,0.0057337,0.00165307,0.0125826,0.00493893,0.0133508,0.0062053,0.00877129,0.0106604,0.0116452,0.0153398,0.0032218,0.011516,0.00695083,0.00456466,0.0104465,0.00873208,0.0115064,0.00276004,0.00729627,0.0103994,0.00884738,0.0132761,0.010325,0.0132673,0.00906231,0.00797113,0.00503865,0.0107927,0.00673479,0.00573287,0.00714754,0.0103952,0.0063365,0.00719089
