Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
439,0.0421282,0.0218133,0.0378263,0.0176499,0.0350442,0.0315262,0.0211083,0.0237477,0.0339685,0.0241871,0.0220664,0.00834843,0.0336683,0.0351052,0.0276918,0.0286222,0.0383148,0.0372376,0.0353883,0.0234035,0.0270125,0.0242003,0.0229633,0.0260997,0.0186482,0.0246508,0.0244372,0.0199072,0.0385113,0.0227171,0.0247688,0.017364,0.0356817,0.0272988,0.031034,0.0225012,0.023764,0.0287977,0.0335851,0.0214994,0.0172595,0.0192376
440,0.0419193,0.0225012,0.0389998,0.0184224,0.0315724,0.0321397,0.0222495,0.0246672,0.0355535,0.0257176,0.0180428,0.00966256,0.0335049,0.0351692,0.0281411,0.0287557,0.0343926,0.0343424,0.0349744,0.0252092,0.0285752,0.0249393,0.0243748,0.0271207,0.0169121,0.0258333,0.0255351,0.021371,0.0398113,0.023877,0.0189361,0.0160395,0.0389785,0.0276891,0.0336226,0.0243933,0.0253243,0.0310748,0.0357336,0.02285,0.0177273,0.0207804
441,0.0418089,0.0232482,0.0400658,0.0196744,0.0282852,0.0323609,0.0232521,0.0251962,0.0374616,0.0272875,0.0142536,0.0118137,0.033691,0.0359581,0.0298336,0.0261638,0.0292517,0.0317942,0.0365865,0.0270825,0.0300449,0.0255476,0.0258708,0.0286591,0.0235542,0.0270395,0.0266391,0.0225086,0.0414186,0.0253951,0.015486,0.014398,0.0412714,0.0279372,0.0360354,0.0269378,0.0267762,0.0330365,0.0388942,0.024942,0.0192001,0.0230498
442,0.0420486,0.024071,0.0408535,0.0213113,0.0265905,0.0324062,0.0243581,0.0254865,0.0396632,0.0288885,0.0180717,0.0139512,0.0345781,0.037084,0.032295,0.0227958,0.0256716,0.0297195,0.0393234,0.0292811,0.0313913,0.0265731,0.0272723,0.0304386,0.0309084,0.0281986,0.0277621,0.0234531,0.0433516,0.0272911,0.0149885,0.0126296,0.0423837,0.0275323,0.0376021,0.0305525,0.0289856,0.0350828,0.0426642,0.0274788,0.0219961,0.0260343
443,0.0427446,0.0250037,0.0411996,0.0233344,0.0270132,0.0327028,0.025817,0.0258681,0.0422677,0.0306827,0.0239235,0.0157675,0.0358651,0.0382451,0.0344186,0.0218762,0.0250473,0.0297751,0.0397478,0.0321103,0.0328597,0.0285029,0.0283915,0.0325709,0.0359033,0.0294439,0.0290448,0.0245122,0.0456467,0.0295453,0.0163492,0.0110101,0.0425437,0.0268189,0.03843,0.0354582,0.0320734,0.0374182,0.0461635,0.0300759,0.0258482,0.0294708
444,0.0437462,0.0260292,0.0410127,0.0259775,0.0292149,0.0337359,0.0277863,0.0267369,0.0454364,0.0329291,0.0266976,0.0172587,0.0362417,0.0391214,0.0354131,0.0247525,0.0286994,0.0325827,0.0365175,0.0355397,0.0348003,0.0315295,0.0290996,0.0353271,0.0384836,0.0310428,0.0307119,0.0259679,0.048264,0.0320105,0.0181891,0.0100113,0.0421721,0.0266179,0.0390089,0.0410715,0.0356186,0.0399768,0.048768,0.0325217,0.0301538,0.0328858
445,0.0447121,0.0270195,0.0403507,0.029435,0.0325945,0.0357457,0.0302161,0.0283272,0.049107,0.0357291,0.0284597,0.0184698,0.0352311,0.0392682,0.0354328,0.0295644,0.0349589,0.0356565,0.0326842,0.0389488,0.0373665,0.0352752,0.0294117,0.0385667,0.0391877,0.0331384,0.0328533,0.0278835,0.050946,0.0343687,0.0200905,0.0101772,0.0416594,0.0274257,0.03967,0.0460799,0.039184,0.0422517,0.0505362,0.0347581,0.0343386,0.0357725
446,0.0453932,0.0278461,0.0394884,0.0334902,0.036395,0.0385332,0.0328737,0.0305439,0.0528867,0.0389161,0.032265,0.0193882,0.0339172,0.0387584,0.0353356,0.0330902,0.0399393,0.0373357,0.0318893,0.0414355,0.0403088,0.0389167,0.0295691,0.0415408,0.0387299,0.0356694,0.0352777,0.0300833,0.0532749,0.0363045,0.022344,0.0115438,0.0412788,0.0290786,0.04038,0.0492317,0.0425927,0.0436055,0.0518571,0.0368188,0.0381629,0.0378716
447,0.0458515,0.0285437,0.0388167,0.0374561,0.0399159,0.0415839,0.0354911,0.0330501,0.0563061,0.0421596,0.0383836,0.0199904,0.0338632,0.0386199,0.0359346,0.0334592,0.0413286,0.0377271,0.0343621,0.0425947,0.0430623,0.0417556,0.0299545,0.0433626,0.0379714,0.03842,0.0376225,0.0322816,0.0549112,0.0376973,0.0251438,0.0136237,0.0412419,0.0309966,0.0409831,0.0501229,0.0458252,0.0439777,0.0528477,0.0387716,0.0417339,0.0392746
448,0.0463181,0.0292838,0.0385462,0.0405225,0.0428687,0.0443009,0.0377635,0.0354215,0.059043,0.0451161,0.0452408,0.0203021,0.0357176,0.0399816,0.0373526,0.0315477,0.0395722,0.0374253,0.038195,0.0428462,0.0450626,0.0435385,0.0308107,0.043665,0.0376879,0.0410477,0.039609,0.0342905,0.0558244,0.0386599,0.0281534,0.0159848,0.0417283,0.0326154,0.0414652,0.0496548,0.0487907,0.0441087,0.0532589,0.0405757,0.0451971,0.0402441
