Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH3,RTOE,RUA1,RUA2,RUA3
21,0.0192112,0.0252855,0.0484369,0.0191355,0.0288273,0.0063298,0.0053345,0.00479859,0.009483,0.00819214,0.0337895,0.0170946,0.0134539,0.0119191,0.00937352,0.0191504,0.022064,0.0151405,0.0260711,0.00658915,0.00685647,0.0115888,0.0489566,0.0166453,0.00833102,0.00385744,0.00456701,0.00313893,0.00675865,0.00995106,0.00901539,0.0196822,0.011622,0.0111059,0.00898937,0.00296751,0.00948758,0.00895304,0.00568549,0.00474643,0.00407035
22,0.0191816,0.0253614,0.0489323,0.0186655,0.0278182,0.00574189,0.0049783,0.00503201,0.00898016,0.00859545,0.0286605,0.0191554,0.0113845,0.0114903,0.0105958,0.0200593,0.0222874,0.0143327,0.0225298,0.00612255,0.00644286,0.012545,0.0489575,0.0167154,0.0107207,0.00431623,0.00480241,0.00298761,0.00644753,0.0105479,0.0114844,0.0205866,0.012269,0.0117546,0.00997105,0.00195822,0.0105211,0.008433,0.0054787,0.00538416,0.00462275
23,0.0190985,0.0256702,0.0493354,0.0178207,0.0254687,0.00515393,0.00455184,0.00526805,0.00853331,0.00898631,0.0250479,0.0207347,0.0103131,0.0120554,0.0119575,0.0206973,0.0225149,0.0146614,0.0197556,0.00559155,0.00601125,0.013648,0.048845,0.0171402,0.0137543,0.00470381,0.00516609,0.0029164,0.00602468,0.0106266,0.0143884,0.0211662,0.0123012,0.011958,0.0102784,0.000642731,0.00910891,0.0075043,0.00539521,0.00598543,0.00510746
24,0.0189299,0.0261369,0.0495478,0.016787,0.021515,0.00465366,0.00412943,0.00551053,0.00818457,0.00934328,0.0230145,0.0216771,0.0103104,0.013899,0.0126772,0.0206932,0.0230311,0.015609,0.0176124,0.00530091,0.00578417,0.0147369,0.048613,0.0179684,0.0167236,0.00493555,0.0055477,0.0029114,0.00557586,0.0102302,0.0180187,0.0216927,0.0110855,0.0112734,0.00949281,0.00221584,0.00566941,0.00819078,0.00550952,0.00661014,0.00551995
25,0.0187019,0.0266631,0.0495436,0.01583,0.0164924,0.00430262,0.00378539,0.00573082,0.0079012,0.00970053,0.0221462,0.0219582,0.0106751,0.0162168,0.012424,0.0201661,0.0235423,0.0163275,0.0159377,0.00545888,0.00581542,0.0156347,0.0483163,0.019036,0.0190957,0.00498566,0.00583755,0.00295488,0.00523533,0.00953647,0.0223478,0.0223349,0.00874325,0.00958223,0.00778207,0.00447677,0.0026486,0.0114854,0.00583642,0.0073222,0.00589909
26,0.0184969,0.0271559,0.049388,0.0152132,0.0115743,0.00413593,0.00358656,0.00587483,0.00762076,0.0100948,0.0215828,0.0217448,0.0108597,0.0181177,0.0113391,0.0195166,0.023512,0.0162516,0.0144889,0.00608905,0.00604094,0.0162493,0.048024,0.0200488,0.0205662,0.00488596,0.00595036,0.00302188,0.00508264,0.00875254,0.0265388,0.0230137,0.00622586,0.00759542,0.00596724,0.00602034,0.00418414,0.0155131,0.00630479,0.00811088,0.00622921
27,0.0184034,0.0275755,0.0492094,0.0150605,0.00835878,0.00417685,0.00358129,0.00589452,0.0073296,0.0104986,0.0204425,0.0213185,0.0109007,0.0191467,0.00986466,0.0189843,0.0225832,0.0152705,0.0129774,0.00704045,0.00637717,0.0165407,0.0477949,0.0207457,0.0209404,0.00468722,0.00584927,0.00308962,0.00510282,0.00803135,0.0293643,0.0235219,0.00477048,0.00647379,0.00508008,0.00658271,0.00569217,0.0183873,0.00679725,0.00885523,0.00644525
28,0.0184692,0.0279281,0.0491544,0.0152614,0.00811069,0.00442627,0.00375191,0.00576613,0.00710002,0.0108248,0.0183086,0.0208466,0.0111018,0.0192175,0.00846914,0.0183464,0.0207228,0.0136259,0.0115687,0.00802936,0.00673431,0.0164469,0.0476823,0.0210157,0.020289,0.00441386,0.00554038,0.00315418,0.0052609,0.00745309,0.0299079,0.0237018,0.00469785,0.00638193,0.00529632,0.00638023,0.00552308,0.0192211,0.00717677,0.0093651,0.00646233
29,0.0186907,0.0282504,0.0493168,0.0155285,0.00992839,0.00483327,0.00398968,0.0055274,0.00702043,0.0110162,0.0155174,0.020255,0.0115115,0.0185248,0.00738724,0.0171556,0.0182102,0.0117363,0.0114739,0.00874193,0.00703319,0.0158969,0.0477421,0.0209149,0.019281,0.004085,0.00508272,0.0032458,0.00554768,0.00706924,0.0280263,0.0235049,0.00537575,0.00649426,0.00596208,0.00573948,0.00461559,0.0184324,0.00733619,0.0094662,0.00623125
30,0.019003,0.0285549,0.0497044,0.0155911,0.0123062,0.00526328,0.00412058,0.00525267,0.00711762,0.0110894,0.0132918,0.0192963,0.0117752,0.0174467,0.00650024,0.0151442,0.0154717,0.0100284,0.0138972,0.00891626,0.00721404,0.0148358,0.0480444,0.0206067,0.0187107,0.0037163,0.00455228,0.00337327,0.0059627,0.00690261,0.0243555,0.0228951,0.00690842,0.00704751,0.00692617,0.00482193,0.00406916,0.0171582,0.0072159,0.0090772,0.00574319
